Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
Christian Dvorak,MTL,33,-19,24,10,1,0,18,4,0,87,12.6
Ryan Dzingel,TOT,8,-5,35,5,0,0,3,0,0,32,15.6
Ryan Dzingel,ARI,7,-3,35,4,0,0,3,0,0,23,17.4
Ryan Dzingel,SJS,1,-2,0,1,0,0,0,0,0,9,11.1
Cody Eakin,BUF,12,-15,22,3,1,0,6,1,1,74,5.4
Jordan Eberle,SEA,44,-28,14,17,4,0,18,5,0,164,12.8
Alexander Edler,LAK,19,18,34,3,0,0,15,0,1,54,5.6
Joel Edmundson,MTL,6,-1,35,3,0,0,3,0,0,32,9.4
Nikolaj Ehlers,WPG,55,18,20,24,4,0,22,5,0,245,11.4
Jack Eichel,VEG,25,3,10,11,3,0,6,5,0,133,10.5
Aaron Ekblad,FLA,57,38,26,12,3,0,22,17,3,180,8.3
Mattias Ekholm,NSH,31,14,44,6,0,0,20,4,1,145,4.1
William Eklund,SJS,4,-3,2,0,0,0,1,3,0,8,0
Oliver Ekman-Larsson,VAN,29,5,52,2,3,0,17,7,0,168,3
Remi Elie,TBL,0,-2,0,0,0,0,0,0,0,2,0
Lars Eller,WSH,31,-4,40,13,0,0,16,2,0,116,11.2
Ryan Ellis,PHI,5,2,0,1,0,0,2,2,0,6,16.7
Turner Elson,DET,0,-1,0,0,0,0,0,0,0,1,0
Pierre Engvall,TOR,35,13,30,12,1,2,17,2,1,154,9.7
Tyler Ennis,OTT,24,-6,16,7,1,0,13,3,0,89,9
Mackenzie Entwistle,CHI,12,-16,23,4,0,1,7,0,0,34,14.7
Loui Eriksson,ARI,19,-18,6,2,0,1,15,1,0,81,3.7
Joel Eriksson Ek,MIN,49,16,28,14,12,0,18,5,0,223,11.7
Adam Erne,DET,19,-22,34,6,0,0,13,0,0,108,5.6
Jake Evans,MTL,29,-5,22,13,0,0,15,0,1,124,10.5
Michael Eyssimont,WPG,0,0,0,0,0,0,0,0,0,1,0
Robby Fabbri,DET,30,-23,35,11,6,0,11,2,0,123,13.8
Dante Fabbro,NSH,24,13,24,3,0,0,21,0,0,88,3.4
Samuel Fagemo,LAK,0,-2,0,0,0,0,0,0,0,5,0
Radek Faksa,DAL,19,-20,52,3,1,1,13,0,1,89,5.6
Joel Farabee,PHI,34,-11,50,15,1,1,15,2,0,119,14.3
Hudson Fasching,ARI,0,-3,0,0,0,0,0,0,0,3,0
Jesper Fast,CAR,34,24,4,13,1,0,18,1,1,97,14.4
Justin Faulk,STL,47,41,43,15,1,0,25,6,0,167,9.6
Martin Fehervary,WSH,17,15,26,7,0,1,8,0,1,96,8.3
Mario Ferraro,SJS,14,-5,16,2,0,0,12,0,0,49,4.1
Kevin Fiala,MIN,85,23,52,27,5,1,40,12,0,262,12.6
Christian Fischer,ARI,10,-15,14,4,1,0,5,0,0,76,6.6
Casey Fitzgerald,BUF,6,-19,36,0,0,0,6,0,0,41,0
Trey Fix-Wolansky,CBJ,2,-1,0,1,0,0,1,0,0,5,20
Cale Fleury,SEA,0,-3,0,0,0,0,0,0,0,4,0
Haydn Fleury,SEA,4,0,13,2,0,0,2,0,0,52,3.8
Warren Foegele,EDM,26,-9,24,10,2,0,13,1,0,142,8.5
Steven Fogarty,BOS,0,-2,2,0,0,0,0,0,0,2,0
Marcus Foligno,MIN,42,25,112,18,5,0,17,2,0,98,23.5
Nick Foligno,BOS,13,-13,61,2,0,0,10,1,0,99,2
Callan Foote,TBL,9,6,29,2,0,0,7,0,0,49,4.1
Nolan Foote,NJD,4,3,0,3,0,0,1,0,0,10,30
Derek Forbort,BOS,14,2,48,4,0,0,9,0,1,64,6.3
Alex Formenton,OTT,32,-13,59,13,0,5,13,0,1,162,11.1
Filip Forsberg,NSH,84,12,22,32,10,0,25,17,0,226,18.6
Gustav Forsling,FLA,37,41,18,10,0,0,27,0,0,145,6.9
Gabriel Fortier,TBL,1,-2,4,1,0,0,0,0,0,14,7.1
Liam Foudy,CBJ,0,-1,0,0,0,0,0,0,0,1,0
Cam Fowler,ANA,42,-9,14,3,6,0,21,12,0,124,7.3
Adam Fox,NYR,74,18,26,10,0,1,29,33,1,158,7
Trent Frederic,BOS,18,10,57,8,0,0,10,0,0,100,8
Mark Friedman,PIT,5,1,23,1,0,0,4,0,0,27,3.7
Martin Frk,LAK,2,-4,2,0,2,0,0,0,0,15,13.3
Jesper Froden,BOS,1,4,2,1,0,0,0,0,0,10,10
Morgan Frost,PHI,16,-11,14,4,1,0,10,1,0,85,5.9
Kurtis Gabriel,CHI,0,0,0,0,0,0,0,0,0,0,
Jonah Gadjovich,SJS,3,-9,74,1,0,0,2,0,0,36,2.8
Sam Gagner,DET,31,-4,32,12,0,1,17,1,0,132,9.8
Alex Galchenyuk,ARI,21,-11,32,6,0,0,14,1,0,89,6.7
Brendan Gallagher,MTL,24,-7,69,2,5,0,15,2,0,142,4.9
Jakub Galvas,CHI,0,0,0,0,0,0,0,0,0,8,0
Dylan Gambrell,OTT,7,2,12,2,0,1,4,0,0,58,5.2
Rhett Gardner,DAL,0,-1,0,0,0,0,0,0,0,0,
Conor Garland,VAN,52,18,36,18,1,0,31,2,0,203,9.4
Adam Gaudette,TOT,14,-9,17,3,2,0,9,0,0,94,5.3
Adam Gaudette,OTT,12,-6,13,3,1,0,8,0,0,84,4.8
Adam Gaudette,CHI,2,-3,4,0,1,0,1,0,0,10,10
Frederick Gaudreau,MIN,44,12,8,13,1,0,26,2,2,132,10.6
Johnny Gaudreau,CGY,115,64,26,34,6,0,56,19,0,262,15.3
Brendan Gaunce,CBJ,7,2,12,5,0,0,2,0,0,44,11.4
Frederik Gauthier,NJD,0,-1,0,0,0,0,0,0,0,4,0
Julien Gauthier,NYR,7,-9,8,3,0,0,4,0,0,69,4.3
Vladislav Gavrikov,CBJ,33,-3,68,5,0,0,27,0,1,108,4.6
Glenn Gawdin,CGY,0,0,2,0,0,0,0,0,0,3,0
Morgan Geekie,SEA,22,-16,18,7,0,0,11,4,0,97,7.2
Mason Geertsen,NJD,0,-6,77,0,0,0,0,0,0,12,0
Timothy Gettinger,NYR,0,0,0,0,0,0,0,0,0,3,0
Ryan Getzlaf,ANA,37,-14,29,1,2,0,25,9,0,104,2.9
Mark Giordano,TOT,35,-9,57,6,0,2,15,12,0,151,5.3
Mark Giordano,SEA,23,-21,47,4,0,2,9,8,0,123,4.9
Mark Giordano,TOR,12,12,10,2,0,0,6,4,0,28,7.1
Samuel Girard,COL,28,-4,20,5,0,0,16,7,0,79,6.3
Zemgus Girgensons,BUF,18,-7,27,7,3,0,7,1,0,92,10.9
Claude Giroux,TOT,65,-5,26,16,5,0,26,18,0,205,10.2
Claude Giroux,PHI,42,-12,20,15,3,0,15,9,0,154,11.7
Claude Giroux,FLA,23,7,6,1,2,0,11,9,0,51,5.9
Cody Glass,NSH,1,0,0,0,0,0,1,0,0,9,0
Luke Glendening,DAL,16,-17,15,9,0,0,5,0,2,116,7.8
Alex Goligoski,MIN,30,41,34,2,0,0,24,4,0,80,2.5
Barclay Goodrow,NYR,33,13,69,12,0,1,17,0,3,116,11.2
Shayne Gostisbehere,ARI,51,-23,26,12,2,0,20,17,0,151,9.3
Yanni Gourde,SEA,48,-13,45,17,3,1,20,4,3,127,16.5
Mikael Granlund,NSH,64,-9,33,8,3,0,28,25,0,117,9.4
Derek Grant,ANA,29,-16,27,12,2,1,13,0,1,117,12.8
Ryan Graves,NJD,28,-9,24,6,0,0,22,0,0,111,5.4
Anthony Greco,NYR,0,0,0,0,0,0,0,0,0,5,0
Andy Greene,NYI,10,-13,10,2,0,0,8,0,0,52,3.8
Jordan Greenway,MIN,27,26,69,9,1,0,16,1,0,110,9.1
A.J. Greer,NJD,2,0,2,1,0,0,1,0,0,14,7.1
Noah Gregor,SJS,23,-21,25,8,0,0,12,3,0,156,5.1
Seth Griffith,EDM,0,1,0,0,0,0,0,0,0,0,
Rocco Grimaldi,NSH,0,0,2,0,0,0,0,0,0,8,0
Jordan Gross,COL,0,0,4,0,0,0,0,0,0,0,
Benoit-Olivier Groulx,ANA,3,0,2,1,0,0,2,0,0,17,5.9
Carl Grundstrom,LAK,15,4,26,9,0,0,6,0,0,83,10.8
Matt Grzelcyk,BOS,24,22,24,4,0,0,15,5,0,118,3.4
Radko Gudas,FLA,16,27,105,2,0,1,13,0,0,100,3
Erik Gudbranson,CGY,17,15,68,6,0,0,11,0,0,129,4.7
Jake Guentzel,PIT,84,13,44,33,7,0,29,15,0,264,15.2
Brendan Guhle,ANA,0,0,0,0,0,0,0,0,0,6,0
Denis Gurianov,DAL,31,2,16,7,4,0,17,3,0,144,7.6
David Gustafsson,WPG,0,0,0,0,0,0,0,0,0,0,
Erik Gustafsson,CHI,18,-4,14,3,0,0,11,4,0,79,3.8
Brandon Hagel,TOT,44,-18,31,20,4,1,15,2,2,125,20
Brandon Hagel,CHI,37,-14,23,17,4,0,13,2,1,94,22.3
Brandon Hagel,TBL,7,-4,8,3,0,1,2,0,1,31,12.9
Carl Hagelin,WSH,14,10,20,3,0,0,10,0,1,71,4.2
Robert Hagg,TOT,9,-9,35,1,0,0,8,0,0,59,1.7
Robert Hagg,BUF,8,-9,25,1,0,0,7,0,0,45,2.2
Robert Hagg,FLA,1,0,10,0,0,0,1,0,0,14,0
Nicolas Hague,VEG,14,6,38,4,0,0,10,0,0,116,3.4
Libor Hajek,NYR,1,-10,8,0,0,0,1,0,0,12,0
Jani Hakanpaa,DAL,12,1,43,4,0,0,7,0,1,68,5.9
Jayden Halbgewachs,SJS,1,1,4,0,0,0,1,0,0,7,0
Taylor Hall,BOS,61,11,42,13,7,0,33,8,0,217,9.2
Filip Hallander,PIT,0,0,0,0,0,0,0,0,0,0,
Dougie Hamilton,NJD,30,-19,34,7,2,0,15,6,0,197,4.6
Travis Hamonic,TOT,10,6,14,4,0,0,6,0,0,82,4.9
Travis Hamonic,VAN,7,1,6,3,0,0,4,0,0,51,5.9
Travis Hamonic,OTT,3,5,8,1,0,0,2,0,0,31,3.2
Noah Hanifin,CGY,48,27,19,9,1,0,25,12,1,189,5.3
Joel Hanley,DAL,6,-13,4,2,0,0,4,0,0,18,11.1
Mike Hardman,CHI,2,-6,11,0,0,0,2,0,0,12,0
Jansen Harkins,WPG,13,-8,15,7,0,0,6,0,0,67,10.4
Thomas Harley,DAL,4,-4,6,1,0,0,3,0,0,36,2.8
Ben Harpur,NSH,1,-10,27,0,0,0,1,0,0,13,0
Scott Harrington,CBJ,1,-4,6,0,0,0,1,0,0,5,0
Jordan Harris,MTL,1,3,8,1,0,0,0,0,0,9,11.1
Ryan Hartman,MIN,65,31,95,33,1,0,24,7,0,239,14.2
Rafa\'ebl Harvey-Pinard,MTL,1,-2,0,1,0,0,0,0,0,6,16.7
Santeri Hatakka,SJS,2,-5,2,0,0,0,2,0,0,3,0
Garnet Hathaway,WSH,26,19,57,14,0,0,11,0,1,124,11.3
Erik Haula,BOS,44,19,47,16,2,0,24,2,0,141,12.8
John Hayden,BUF,4,-12,84,2,0,0,2,0,0,65,3.1
Kevin Hayes,PHI,31,-20,26,8,2,0,18,2,1,126,7.9
Zack Hayes,VEG,0,-2,0,0,0,0,0,0,0,1,0
Barrett Hayton,ARI,24,-8,20,8,2,0,11,3,0,82,12.2
Dillon Heatherington,OTT,0,-1,7,0,0,0,0,0,0,4,0
Victor Hedman,TBL,85,26,36,14,6,0,33,32,0,219,9.1
Danton Heinen,PIT,33,6,16,15,3,0,14,1,0,138,13
Ville Heinola,WPG,5,-2,10,0,0,0,5,0,0,25,0
Miro Heiskanen,DAL,36,3,24,2,3,0,23,8,0,156,3.2
Darren Helm,COL,15,-5,14,6,0,1,7,0,1,93,7.5
Adam Henrique,ANA,42,-2,14,13,6,0,18,5,0,141,13.5
Aleksi Heponiemi,FLA,1,-6,2,0,0,0,0,1,0,7,0
Tomas Hertl,SJS,64,-9,30,24,6,0,23,10,1,205,14.6
Thomas Hickey,NYI,0,-3,0,0,0,0,0,0,0,0,
Matthew Highmore,VAN,12,1,14,4,1,0,7,0,0,61,8.2
Cameron Hillis,MTL,0,0,0,0,0,0,0,0,0,2,0
Vinnie Hinostroza,BUF,25,-11,24,12,1,0,12,0,0,92,14.1
Roope Hintz,DAL,72,15,28,25,9,3,19,15,1,213,17.4
Taro Hirose,DET,4,-5,4,0,1,0,2,1,0,10,10
Nico Hischier,NJD,60,-1,17,17,4,0,29,8,2,153,13.7
Hayden Hodgson,PHI,3,-1,11,1,0,0,2,0,0,10,10
Mike Hoffman,MTL,35,-24,32,11,4,0,11,9,0,154,9.7
Gregory Hofmann,CBJ,7,6,8,2,0,0,5,0,0,33,6.1
Linus Hogberg,PHI,2,0,2,0,0,0,2,0,0,3,0
Nils Hoglander,VAN,18,-6,24,9,1,0,6,2,0,132,7.6
Nick Holden,OTT,19,0,12,5,0,0,14,0,0,75,6.7
Justin Holl,TOR,23,14,41,2,0,1,18,0,2,64,4.7
Alexander Holtz,NJD,2,-5,2,0,0,0,1,1,0,12,0
Patric Hornqvist,FLA,28,-5,19,8,3,0,13,4,0,165,6.7
Bo Horvat,VAN,52,3,40,17,13,1,15,6,0,194,16
Brett Howden,VEG,20,9,12,9,0,0,9,0,2,39,23.1
Filip Hronek,DET,38,-29,36,3,2,0,28,5,0,133,3.8
Jonathan Huberdeau,FLA,115,35,54,22,5,3,50,33,2,222,13.5
Jack Hughes,NJD,56,-16,0,20,6,0,22,8,0,165,15.8
Quinn Hughes,VAN,68,10,28,8,0,0,27,31,2,150,5.3
Brad Hunt,VAN,17,-3,12,3,0,0,12,2,0,67,4.5
Dryden Hunt,NYR,17,-10,52,6,0,0,11,0,0,94,6.4
Ben Hutton,VEG,13,7,32,3,0,0,10,0,0,78,3.8
Grant Hutton,NYI,1,-1,4,1,0,0,0,0,0,22,4.5
Zach Hyman,EDM,54,-9,36,21,5,1,19,5,3,213,12.7
Alex Iafallo,LAK,37,4,8,13,3,1,16,3,1,215,7.9
Bokondji Imama,ARI,1,-2,5,1,0,0,0,0,0,3,33.3
Matt Irwin,WSH,4,0,6,1,0,0,3,0,0,29,3.4
Mark Jankowski,BUF,5,2,4,2,0,0,3,0,0,14,14.3
Mattias Janmark,VEG,25,3,21,7,0,2,15,0,1,89,10.1
Calle Jarnkrok,TOT,30,-14,6,10,2,0,14,4,0,101,11.9
Calle Jarnkrok,SEA,26,-15,2,10,2,0,11,3,0,82,14.6
Calle Jarnkrok,CGY,4,1,4,0,0,0,3,1,0,19,0
Christian Jaros,NJD,0,-4,2,0,0,0,0,0,0,9,0
Seth Jarvis,CAR,40,11,18,15,2,0,19,4,0,110,15.5
Dmitrij Jaskin,ARI,1,-6,4,0,0,0,1,0,0,23,0
Tanner Jeannot,NSH,41,2,130,21,2,1,16,1,0,124,19.4
Jan Jenik,ARI,3,-6,11,2,0,0,1,0,0,22,9.1
Boone Jenner,CBJ,44,-11,22,15,8,0,19,2,0,160,14.4
Nick Jensen,WSH,21,32,21,5,0,0,16,0,0,88,5.7
Lucas Johansen,WSH,1,1,0,0,0,0,1,0,0,0,
Ryan Johansen,NSH,63,-2,53,15,11,0,24,13,0,118,22
Marcus Johansson,TOT,29,-26,4,6,3,0,13,7,0,111,8.1
Marcus Johansson,SEA,23,-22,4,3,3,0,11,6,0,81,7.4
Marcus Johansson,WSH,6,-4,0,3,0,0,2,1,0,30,10
Erik Johnson,COL,25,22,24,7,0,1,15,1,1,139,5.8
Jack Johnson,COL,9,5,42,1,0,0,7,0,1,57,1.8
Kent Johnson,CBJ,3,2,2,0,0,0,1,2,0,5,0
Reese Johnson,CHI,6,-13,16,1,0,0,5,0,0,24,4.2
Tyler Johnson,CHI,7,-8,12,3,0,0,2,2,0,30,10
Andreas Johnsson,NJD,35,4,30,12,1,0,22,0,0,114,11.4
Ross Johnston,NYI,7,-3,44,2,0,0,5,0,0,9,22.2
Henri Jokiharju,BUF,19,-8,20,3,0,0,12,4,0,83,3.6
Ben Jones,VEG,0,0,2,0,0,0,0,0,0,1,0
Caleb Jones,CHI,15,-3,18,5,0,0,9,1,0,57,8.8
Max Jones,ANA,0,-1,15,0,0,0,0,0,0,2,0
Seth Jones,CHI,51,-37,28,5,0,0,26,19,1,194,2.6
Zachary Jones,NYR,2,-7,0,0,0,0,2,0,0,8,0
Axel Jonsson Fj\'e4llby,WSH,4,0,4,2,0,0,2,0,0,29,6.9
Mathieu Joseph,TOT,30,12,29,10,0,2,16,0,2,86,14
Mathieu Joseph,TBL,18,4,23,6,0,2,9,0,1,67,11.9
Mathieu Joseph,OTT,12,8,6,4,0,0,7,0,1,19,21.1
Pierre-Olivier Joseph,PIT,0,-2,2,0,0,0,0,0,0,7,0
Dakota Joshua,STL,8,6,16,3,0,0,5,0,0,31,9.7
Roman Josi,NSH,96,13,46,12,11,0,47,26,0,281,8.2
Tyson Jost,TOT,20,2,34,8,0,0,11,0,1,97,8.2
Tyson Jost,COL,14,2,30,6,0,0,7,0,1,76,7.9
Tyson Jost,MIN,6,0,4,2,0,0,4,0,0,21,9.5
Olli Juolevi,TOT,0,-1,6,0,0,0,0,0,0,18,0
Olli Juolevi,FLA,0,0,2,0,0,0,0,0,0,9,0
Olli Juolevi,DET,0,-1,4,0,0,0,0,0,0,9,0
Noah Juulsen,VAN,2,-4,0,0,0,0,2,0,0,6,0
Nazem Kadri,COL,87,13,71,20,8,0,38,21,0,247,11.3
Kaapo Kakko,NYR,18,9,10,6,1,0,10,1,0,62,11.3
Arthur Kaliyev,LAK,27,-3,37,8,6,0,10,3,0,194,7.2
Wyatt Kalynuk,CHI,0,-3,2,0,0,0,0,0,0,1,0
David Kampf,TOR,26,12,20,9,0,2,13,0,2,102,10.8
Evander Kane,EDM,39,25,60,17,3,2,15,1,1,152,14.5
Patrick Kane,CHI,92,-19,18,17,9,0,44,22,0,287,9.1
Kasperi Kapanen,PIT,32,2,16,11,0,0,16,5,0,129,8.5
Kirill Kaprizov,MIN,108,27,34,33,14,0,44,17,0,289,16.3
Erik Karlsson,SJS,35,-14,14,10,0,0,15,10,0,117,8.5
William Karlsson,VEG,35,3,10,9,1,2,21,2,0,135,8.9
Fredrik Karlstrom,DAL,1,2,0,0,0,0,1,0,0,1,0
Ondrej Kase,TOR,27,4,14,9,4,1,9,4,0,119,11.8
Zack Kassian,EDM,19,2,63,4,2,0,13,0,0,58,10.3
Mark Kastelic,OTT,4,-1,14,2,0,0,2,0,0,11,18.2
Boris Katchouk,TOT,7,-7,39,3,0,0,4,0,0,58,5.2
Boris Katchouk,TBL,6,3,25,2,0,0,4,0,0,36,5.6
Boris Katchouk,CHI,1,-10,14,1,0,0,0,0,0,22,4.5
Martin Kaut,COL,0,2,0,0,0,0,0,0,0,1,0
Joey Keane,CAR,0,0,2,0,0,0,0,0,0,1,0
Duncan Keith,EDM,21,15,22,1,0,0,18,2,0,79,1.3
Clayton Keller,ARI,63,3,28,22,5,1,28,6,1,177,15.8
Parker Kelly,OTT,12,-4,60,7,0,0,5,0,0,48,14.6
Adrian Kempe,LAK,54,-2,46,26,6,3,9,10,0,247,14.2
Michal Kempny,WSH,2,-3,16,1,0,0,1,0,0,10,10
Alexander Kerfoot,TOR,51,19,20,13,0,0,34,1,3,117,11.1
Tanner Kero,DAL,3,-5,0,0,0,0,3,0,0,14,0
Phil Kessel,ARI,52,-24,40,6,2,0,32,12,0,175,4.6
Jujhar Khaira,CHI,3,-4,13,3,0,0,0,0,0,32,9.4
Matt Kiersted,FLA,2,-8,2,1,0,0,1,0,0,11,9.1
Alex Killorn,TBL,59,1,66,19,6,0,26,8,0,164,15.2
Bryce Kindopp,ANA,0,0,0,0,0,0,0,0,0,2,0
Joel Kiviranta,DAL,7,-6,10,1,0,0,6,0,0,59,1.7
John Klingberg,DAL,47,-28,34,5,1,0,22,19,0,139,4.3
Artemi Kniazev,SJS,0,-2,0,0,0,0,0,0,0,2,0
Slater Koekkoek,EDM,4,2,16,0,0,0,4,0,0,11,0
Otto Koivula,NYI,2,-2,0,0,0,0,2,0,0,8,0
Keegan Kolesar,VEG,24,-6,68,5,1,1,17,0,0,94,7.4
Vladislav Kolyachonok,ARI,3,0,6,1,0,0,2,0,0,24,4.2
Leo Komarov,NYI,0,0,2,0,0,0,0,0,0,0,
Travis Konecny,PHI,52,-23,77,13,3,0,29,7,0,220,7.3
Anze Kopitar,LAK,67,-6,14,13,6,0,31,16,1,210,9
Kaedan Korczak,VEG,0,1,0,0,0,0,0,0,0,0,
Klim Kostin,STL,9,-3,23,4,0,0,5,0,0,31,12.9
Jesperi Kotkaniemi,CAR,29,3,37,12,0,0,13,4,0,81,14.8
Johnathan Kovacevic,WPG,0,1,2,0,0,0,0,0,0,7,0
Peyton Krebs,TOT,22,-26,22,7,0,0,5,10,0,56,12.5
Peyton Krebs,BUF,22,-20,20,7,0,0,5,10,0,46,15.2
Peyton Krebs,VEG,0,-6,2,0,0,0,0,0,0,10,0
Chris Kreider,NYR,77,19,24,23,26,3,16,9,0,258,20.2
Torey Krug,STL,43,23,48,5,3,1,18,16,0,119,7.6
Dominik Kubal\'edk,CHI,32,-16,16,12,3,0,11,6,0,161,9.3
Nikita Kucherov,TBL,69,1,22,16,9,0,23,21,0,156,16
Karson Kuhlman,TOT,10,-2,6,3,0,0,7,0,0,68,4.4
