Player,Tm,PTS,+/-,PIM,EVG,PPG,SHG,EVA,PPA,SHA,S,S%
Jack Quinn,BUF,2,0,0,0,1,0,1,0,0,6,16.7
Darren Raddysh,TBL,0,1,0,0,0,0,0,0,0,2,0
Taylor Raddysh,TOT,22,1,10,7,3,1,10,1,0,104,10.6
Taylor Raddysh,TBL,12,5,8,4,0,1,6,1,0,61,8.2
Taylor Raddysh,CHI,10,-4,2,3,3,0,4,0,0,43,14
Alexander Radulov,DAL,22,-20,30,3,1,0,11,7,0,92,4.3
Michael Raffl,DAL,16,-19,16,6,0,1,7,0,2,94,7.4
Rickard Rakell,TOT,41,0,12,15,5,0,16,5,0,184,10.9
Rickard Rakell,ANA,28,-7,8,11,5,0,8,4,0,136,11.8
Rickard Rakell,PIT,13,7,4,4,0,0,8,1,0,48,8.3
Sampo Ranta,COL,0,-4,2,0,0,0,0,0,0,9,0
Mikko Rantanen,COL,92,35,56,20,16,0,37,19,0,254,14.2
Victor Rask,TOT,21,4,2,9,0,0,11,1,0,58,15.5
Victor Rask,MIN,13,7,2,5,0,0,8,0,0,30,16.7
Victor Rask,SEA,8,-3,0,4,0,0,3,1,0,28,14.3
Adam Raska,SJS,0,1,7,0,0,0,0,0,0,2,0
Michael Rasmussen,DET,27,-25,66,15,0,0,10,2,0,128,11.7
Isaac Ratcliffe,PHI,4,-1,10,1,0,0,1,2,0,14,7.1
Jack Rathbone,VAN,0,-5,2,0,0,0,0,0,0,10,0
Kyle Rau,MIN,0,-3,0,0,0,0,0,0,0,3,0
Lucas Raymond,DET,57,-32,16,18,5,0,21,13,0,184,12.5
Ryan Reaves,NYR,13,-13,43,5,0,0,8,0,0,44,11.4
Scott Reedy,SJS,9,-8,10,4,3,0,2,0,0,33,21.2
Alec Regula,CHI,1,-1,12,1,0,0,0,0,0,18,5.6
Kristian Reichel,WPG,2,-2,7,1,0,0,1,0,0,18,5.6
Lukas Reichel,CHI,1,-8,0,0,0,0,1,0,0,15,0
Mike Reilly,BOS,17,-1,32,3,0,1,10,3,0,135,3
Cole Reinhardt,OTT,0,0,2,0,0,0,0,0,0,1,0
Sam Reinhart,FLA,82,25,13,17,16,0,32,15,2,186,17.7
Sheldon Rempal,VAN,0,-1,0,0,0,0,0,0,0,2,0
Dan Renouf,DET,0,-2,7,0,0,0,0,0,0,3,0
Brad Richardson,TOT,8,-1,35,4,0,0,4,0,0,31,12.9
Brad Richardson,CGY,4,-2,27,2,0,0,2,0,0,19,10.5
Brad Richardson,VAN,4,1,8,2,0,0,2,0,0,12,16.7
Morgan Rielly,TOR,68,16,40,8,2,0,34,21,3,221,4.5
Juuso Riikola,PIT,1,2,2,0,0,0,1,0,0,7,0
Rasmus Ristolainen,PHI,16,-9,38,2,0,0,13,1,0,97,2.1
Brett Ritchie,CGY,4,-6,29,3,0,0,1,0,0,55,5.5
Nick Ritchie,TOT,23,-13,43,11,1,0,8,3,0,93,12.9
Nick Ritchie,TOR,9,-6,23,1,1,0,4,3,0,52,3.8
Nick Ritchie,ARI,14,-7,20,10,0,0,4,0,0,41,24.4
Jason Robertson,DAL,79,16,22,28,13,0,30,8,0,220,18.6
Nicholas Robertson,TOR,1,-4,4,1,0,0,0,0,0,14,7.1
Buddy Robinson,ANA,6,2,19,1,0,0,5,0,0,38,2.6
Eric Robinson,CBJ,27,-1,18,8,0,2,17,0,0,104,9.6
Evan Rodrigues,PIT,43,3,14,12,7,0,23,1,0,243,7.8
Alexander Romanov,MTL,13,-9,53,3,0,0,10,0,0,107,2.8
Kevin Rooney,NYR,12,-1,18,6,0,0,6,0,0,71,8.5
Calle Rosen,STL,7,-2,4,2,0,0,5,0,0,18,11.1
Jack Roslovic,CBJ,45,2,12,18,4,0,20,3,0,131,16.8
Marco Rossi,MIN,0,-1,4,0,0,0,0,0,0,5,0
Antoine Roussel,ARI,8,-16,59,4,0,0,4,0,0,59,6.8
Carter Rowney,DET,6,-4,0,4,0,0,1,0,1,15,26.7
Matt Roy,LAK,21,23,28,2,0,0,15,2,2,153,1.3
Nicolas Roy,VEG,39,12,51,13,2,0,20,3,1,145,10.3
Kristians Rubins,TOR,0,-2,4,0,0,0,0,0,0,5,0
Chad Ruhwedel,PIT,13,2,14,4,0,0,9,0,0,82,4.9
Arttu Ruotsalainen,BUF,4,-1,6,2,0,0,2,0,0,23,8.7
Kris Russell,EDM,9,7,4,2,0,0,7,0,0,34,5.9
Bryan Rust,PIT,58,7,14,15,9,0,22,12,0,180,13.3
Jan Rutta,TBL,18,25,47,3,0,0,15,0,0,86,3.5
Adam Ruzicka,CGY,10,8,8,5,0,0,5,0,0,33,15.2
Derek Ryan,EDM,22,-4,8,10,0,0,11,0,1,72,13.9
Jonas R\'f8ndbjerg,VEG,6,0,4,2,0,0,4,0,0,30,6.7
Brandon Saad,STL,49,11,10,15,8,1,18,5,2,158,15.2
Scott Sabourin,OTT,2,-2,11,0,0,0,2,0,0,4,0
Robin Salo,NYI,5,-6,4,1,0,0,2,2,0,24,4.2
Dylan Samberg,WPG,5,3,4,0,0,0,5,0,0,14,0
Dmitri Samorukov,EDM,0,-2,0,0,0,0,0,0,0,0,
Mattias Samuelsson,BUF,10,-10,16,0,0,0,10,0,0,44,0
Linus Sandin,PHI,0,0,0,0,0,0,0,0,0,1,0
Rasmus Sandin,TOR,16,9,4,5,0,0,8,3,0,46,10.9
Zach Sanford,TOT,21,-15,50,8,1,0,10,2,0,104,8.7
Zach Sanford,OTT,17,-13,37,8,1,0,6,2,0,85,10.6
Zach Sanford,WPG,4,-2,13,0,0,0,4,0,0,19,0
Travis Sanheim,PHI,31,9,34,7,0,0,24,0,0,123,5.7
David Savard,MTL,17,-22,36,3,0,0,13,0,1,66,4.5
Marco Scandella,STL,14,17,18,3,0,0,9,0,2,76,3.9
Colton Sceviour,EDM,5,-6,26,2,0,0,2,0,1,38,5.3
Mark Scheifele,WPG,70,-17,23,22,7,0,29,12,0,159,18.2
Brayden Schenn,STL,58,21,33,17,7,0,24,10,0,111,21.6
Luke Schenn,VAN,17,15,61,4,0,1,12,0,0,78,6.4
Nick Schmaltz,ARI,59,1,14,19,4,0,32,4,0,123,18.7
Nate Schmidt,WPG,32,-4,10,3,1,0,17,10,1,117,3.4
Braden Schneider,NYR,11,5,9,2,0,0,8,1,0,25,8
Corey Schueneman,MTL,6,-5,8,2,0,0,3,1,0,30,6.7
Justin Schultz,WSH,23,-15,16,2,2,0,16,3,0,92,4.3
Jaden Schwartz,SEA,23,-13,14,7,1,0,12,3,0,101,7.9
Cole Schwindt,FLA,0,-4,0,0,0,0,0,0,0,3,0
Nick Seeler,PHI,3,-3,29,1,0,0,2,0,0,32,3.1
Tyler Seguin,DAL,49,-21,30,21,3,0,15,10,0,218,11
Moritz Seider,DET,50,-9,34,5,2,0,22,19,2,187,3.7
Andrej Sekera,DAL,4,-3,16,1,0,0,3,0,0,26,3.8
Kirill Semyonov,TOR,0,-2,0,0,0,0,0,0,0,1,0
Brett Seney,TOR,0,0,0,0,0,0,0,0,0,1,0
Zachary Senyshyn,OTT,0,-1,2,0,0,0,0,0,0,0,
Mikhail Sergachev,TBL,38,6,59,6,1,0,24,6,1,149,4.7
Damon Severson,NJD,46,-14,57,6,5,0,23,11,1,158,7
Michael Sgarbossa,WSH,4,3,0,2,0,0,2,0,0,11,18.2
Yegor Sharangovich,NJD,46,-14,23,20,2,2,21,1,0,168,14.3
Kevin Shattenkirk,ANA,35,-9,36,7,1,0,14,13,0,163,4.9
Logan Shaw,OTT,3,-3,2,1,0,0,2,0,0,17,5.9
Mason Shaw,MIN,0,-2,5,0,0,0,0,0,0,7,0
Riley Sheahan,SEA,17,6,2,4,0,0,11,0,2,69,5.8
Conor Sheary,WSH,43,-2,14,17,2,0,20,4,0,129,14.7
Kiefer Sherwood,COL,2,3,0,1,0,0,1,0,0,9,11.1
Kole Sherwood,NSH,0,0,0,0,0,0,0,0,0,2,0
Devin Shore,EDM,11,-4,10,4,0,1,6,0,0,36,13.9
Jonas Siegenthaler,NJD,14,-5,42,1,0,0,12,0,1,92,1.1
Dylan Sikura,COL,1,0,0,0,0,0,1,0,0,3,0
Jakob Silfverberg,ANA,21,-3,30,4,1,0,12,4,0,120,4.2
Cole Sillinger,CBJ,31,-22,37,16,0,0,13,2,0,148,10.8
Radim Simek,SJS,2,-13,8,1,0,0,1,0,0,25,4
Wayne Simmonds,TOR,16,-7,96,5,0,0,10,1,0,79,6.3
Dominik Simon,TOT,13,0,34,3,0,0,9,1,0,88,3.4
Dominik Simon,PIT,9,0,28,3,0,0,5,1,0,67,4.5
Dominik Simon,ANA,4,0,6,0,0,0,4,0,0,21,0
Colton Sissons,NSH,28,2,30,6,1,0,18,3,0,87,8
Jeff Skinner,BUF,63,-14,42,28,5,0,24,6,0,262,12.6
Brady Skjei,CAR,39,22,48,9,0,0,30,0,0,184,4.9
Jaccob Slavin,CAR,42,35,10,3,1,0,30,6,2,165,2.4
Josiah Slavin,CHI,1,0,4,0,0,0,1,0,0,13,0
Brendan Smith,CAR,8,6,36,4,0,0,4,0,0,63,6.3
C.J. Smith,CAR,0,-1,0,0,0,0,0,0,0,0,
Cole Smith,NSH,0,-3,0,0,0,0,0,0,0,3,0
Craig Smith,BOS,36,2,28,16,0,0,16,4,0,187,8.6
Gemel Smith,DET,1,-2,5,0,0,0,1,0,0,1,0
Givani Smith,DET,7,-6,108,4,0,0,3,0,0,50,8
Nathan Smith,ARI,4,-1,2,2,0,0,2,0,0,14,14.3
Reilly Smith,VEG,38,4,8,11,3,2,16,4,2,150,10.7
Ty Smith,NJD,20,-26,22,5,0,0,11,4,0,77,6.5
Joe Snively,WSH,7,3,2,3,1,0,3,0,0,21,19
Victor Soderstrom,ARI,0,-7,6,0,0,0,0,0,0,14,0
Egor Sokolov,OTT,0,-6,4,0,0,0,0,0,0,8,0
Carson Soucy,SEA,21,7,47,9,0,1,8,2,1,97,10.3
Blake Speers,ARI,0,-3,2,0,0,0,0,0,0,1,0
Jordan Spence,LAK,8,0,2,2,0,0,4,2,0,41,4.9
Jason Spezza,TOR,25,-3,26,9,3,0,6,7,0,97,12.4
Daniel Sprong,TOT,20,0,8,12,2,0,6,0,0,153,9.2
Daniel Sprong,WSH,14,6,8,8,0,0,6,0,0,102,7.8
Daniel Sprong,SEA,6,-6,0,4,2,0,0,0,0,51,11.8
Jared Spurgeon,MIN,40,32,10,10,0,0,16,14,0,116,8.6
Jordan Staal,CAR,36,11,18,16,1,0,18,1,0,146,11.6
Marc Staal,DET,16,-1,28,3,0,0,13,0,0,76,3.9
Steven Stamkos,TBL,106,24,36,26,16,0,44,20,0,241,17.4
Logan Stanley,WPG,13,1,44,1,0,0,11,0,1,80,1.3
Paul Stastny,WPG,45,14,14,17,4,0,20,4,0,141,14.9
Troy Stecher,TOT,3,-7,13,1,0,0,2,0,0,50,2
Troy Stecher,DET,2,-6,9,1,0,0,1,0,0,23,4.3
Troy Stecher,LAK,1,-1,4,0,0,0,1,0,0,27,0
Sam Steel,ANA,20,-17,16,6,0,0,11,3,0,66,9.1
Oskar Steen,BOS,6,-1,6,2,0,0,4,0,0,25,8
Alex Steeves,TOR,1,-1,0,0,0,0,1,0,0,2,0
Kevin Stenlund,CBJ,0,0,2,0,0,0,0,0,0,3,0
Derek Stepan,CAR,19,0,14,9,0,0,10,0,0,96,9.4
Mitchell Stephens,DET,6,-8,8,0,0,0,6,0,0,17,0
Chandler Stephenson,VEG,64,5,26,14,6,1,34,8,1,125,16.8
Riley Stillman,CHI,12,-8,36,2,0,0,10,0,0,49,4.1
Mark Stone,VEG,30,7,8,6,3,0,17,3,1,71,12.7
Michael Stone,CGY,6,3,4,1,1,0,3,1,0,24,8.3
Anton Stralman,ARI,23,-16,12,8,0,0,15,0,0,95,8.4
Austin Strand,LAK,2,-1,0,0,0,0,2,0,0,9,0
Dylan Strome,CHI,48,-6,28,17,5,0,15,11,0,126,17.5
Ryan Strome,NYR,54,15,69,15,5,1,24,9,0,161,13
Marian Studenic,TOT,4,-7,6,2,0,0,2,0,0,42,4.8
Marian Studenic,NJD,1,-6,0,1,0,0,0,0,0,24,4.2
Marian Studenic,DAL,3,-1,6,1,0,0,2,0,0,18,5.6
Jack Studnicka,BOS,3,-5,4,0,0,0,3,0,0,21,0
Nico Sturm,TOT,20,-7,14,7,1,1,11,0,0,101,8.9
Nico Sturm,MIN,17,-5,8,7,1,1,8,0,0,73,12.3
Nico Sturm,COL,3,-2,6,0,0,0,3,0,0,28,0
Tim St\'fctzle,OTT,58,-27,37,14,7,1,17,19,0,176,12.5
P.K. Subban,NJD,22,-8,82,5,0,0,16,0,1,114,4.4
C.J. Suess,WPG,0,0,2,0,0,0,0,0,0,0,
Oskar Sundqvist,TOT,23,5,29,8,0,0,15,0,0,70,11.4
Oskar Sundqvist,STL,15,4,12,4,0,0,11,0,0,50,8
Oskar Sundqvist,DET,8,1,17,4,0,0,4,0,0,20,20
Andrej Sustr,TOT,6,-4,16,1,0,0,5,0,0,28,3.6
Andrej Sustr,ANA,5,-3,10,0,0,0,5,0,0,18,0
Andrej Sustr,TBL,1,-1,6,1,0,0,0,0,0,10,10
Pius Suter,DET,36,-11,22,14,0,1,18,3,0,166,9
Ryan Suter,DAL,32,1,40,3,4,0,16,9,0,118,5.9
Nick Suzuki,MTL,61,-29,30,12,8,1,26,12,2,186,11.3
Andrei Svechnikov,CAR,69,19,79,21,9,0,26,13,0,249,12
Evgeny Svechnikov,WPG,19,-4,38,7,0,0,12,0,0,78,9
Brandon Tanev,SEA,15,4,13,6,2,1,6,0,0,51,17.6
Chris Tanev,CGY,28,35,22,6,0,0,22,0,0,88,6.8
Vladimir Tarasenko,STL,82,7,32,29,5,0,30,17,1,230,14.8
Tomas Tatar,NJD,30,-22,22,13,2,0,12,3,0,132,11.4
John Tavares,TOR,76,-8,32,17,10,0,33,16,0,237,11.4
Matt Tennyson,NSH,3,0,4,0,0,0,3,0,0,5,0
Teuvo Teravainen,CAR,65,22,24,11,9,2,20,22,1,202,10.9
Troy Terry,ANA,67,-11,26,29,8,0,23,7,0,192,19.3
Alexandre Texier,CBJ,20,0,12,10,0,1,8,0,1,59,18.6
Shea Theodore,VEG,52,6,24,13,1,0,27,11,0,205,6.8
Robert Thomas,STL,77,17,16,15,3,2,45,11,1,115,17.4
Nate Thompson,PHI,3,-15,31,1,0,0,2,0,0,23,4.3
Tage Thompson,BUF,68,-17,37,26,10,2,24,6,0,253,15
Tyce Thompson,NJD,0,0,0,0,0,0,0,0,0,3,0
Lassi Thomson,OTT,5,-8,2,0,0,0,4,1,0,18,0
Joe Thornton,FLA,10,-10,10,2,3,0,5,0,0,26,19.2
Chris Tierney,OTT,18,-12,14,3,3,0,10,2,0,72,8.3
Conor Timmins,ARI,0,-6,0,0,0,0,0,0,0,5,0
Jarred Tinordi,NYR,1,-5,7,1,0,0,0,0,0,5,20
Owen Tippett,TOT,21,-2,12,9,1,0,9,2,0,126,7.9
Owen Tippett,FLA,14,2,10,6,0,0,7,1,0,73,8.2
Owen Tippett,PHI,7,-4,2,3,1,0,2,1,0,53,7.5
Vladimir Tkachev,LAK,2,-2,2,0,0,0,0,2,0,1,0
Brady Tkachuk,OTT,67,-7,117,21,9,0,29,8,0,288,10.4
Matthew Tkachuk,CGY,104,57,68,30,12,0,45,17,0,253,16.6
Devon Toews,COL,57,52,20,11,2,0,34,10,0,158,8.2
Jonathan Toews,CHI,37,-14,39,7,4,1,22,3,0,125,9.6
Tyler Toffoli,TOT,49,-5,14,10,8,2,20,8,1,195,10.3
Tyler Toffoli,CGY,23,3,10,6,4,1,7,4,1,95,11.6
Tyler Toffoli,MTL,26,-8,4,4,4,1,13,4,0,100,9
Eeli Tolvanen,NSH,23,-7,16,10,1,0,7,5,0,151,7.3
Philip Tomasino,NSH,32,2,10,8,3,0,15,6,0,111,9.9
Dominic Toninato,WPG,14,1,22,6,0,1,3,1,3,44,15.9
Alexey Toropchenko,STL,2,-9,15,2,0,0,0,0,0,43,4.7
Brayden Tracey,ANA,0,-1,0,0,0,0,0,0,0,1,0
Yakov Trenin,NSH,24,7,46,17,0,0,7,0,0,136,12.5
Vincent Trocheck,CAR,51,21,78,15,6,0,24,6,0,168,12.5
Jacob Trouba,NYR,39,25,88,10,1,0,23,3,2,204,5.4
Alexander True,SEA,0,-2,2,0,0,0,0,0,0,6,0
Alex Tuch,BUF,38,-3,14,9,2,1,20,6,0,139,8.6
Riley Tufte,DAL,1,0,4,1,0,0,0,0,0,5,20
Alex Turcotte,LAK,0,0,2,0,0,0,0,0,0,13,0
Kyle Turris,EDM,4,-5,4,1,0,0,3,0,0,21,4.8
T.J. Tynan,LAK,0,0,0,0,0,0,0,0,0,3,0
Urho Vaakanainen,TOT,6,-5,10,0,0,0,5,1,0,27,0
Urho Vaakanainen,BOS,4,0,4,0,0,0,4,0,0,15,0
Urho Vaakanainen,ANA,2,-5,6,0,0,0,1,1,0,12,0
Juuso Valimaki,CGY,2,0,10,0,0,0,2,0,0,11,0
James van Riemsdyk,PHI,38,-33,25,15,9,0,14,0,0,186,12.9
Trevor van Riemsdyk,WSH,17,-3,40,1,0,0,15,0,1,75,1.3
Frank Vatrano,TOT,32,4,22,17,1,0,13,1,0,161,11.2
Frank Vatrano,FLA,19,-2,16,9,1,0,8,1,0,105,9.5
Frank Vatrano,NYR,13,6,6,8,0,0,5,0,0,56,14.3
Mike Vecchione,WSH,0,-1,0,0,0,0,0,0,0,3,0
Lukas Vejdemo,MTL,1,-3,0,1,0,0,0,0,0,10,10
Joe Veleno,DET,15,-14,22,8,0,0,7,0,0,73,11
Carter Verhaeghe,FLA,55,24,48,24,0,0,28,3,0,167,14.4
Kristian Vesalainen,WPG,3,-8,6,2,0,0,1,0,0,43,4.7
Jimmy Vesey,NJD,15,-24,12,6,0,2,7,0,0,110,7.3
Jeffrey Viel,SJS,5,-2,114,3,0,0,2,0,0,30,10
Gabriel Vilardi,LAK,7,-5,8,3,2,0,2,0,0,41,12.2
Alex Vlasic,CHI,2,-2,2,1,0,0,1,0,0,12,8.3
Marc-Edouard Vlasic,SJS,14,-22,18,3,0,0,11,0,0,63,4.8
Jakub Voracek,CBJ,62,-13,44,4,2,0,33,23,0,147,4.1
Jakub Vrana,DET,19,-8,16,8,5,0,5,1,0,65,20
Chris Wagner,BOS,0,-1,0,0,0,0,0,0,0,2,0
Oliver Wahlstrom,NYI,24,-6,74,8,5,0,8,3,0,157,8.3
Nathan Walker,STL,12,1,2,8,0,0,4,0,0,38,21.1
Sean Walker,LAK,2,-1,4,0,0,0,1,1,0,18,0
Jake Walman,TOT,10,-3,10,3,0,0,6,1,0,87,3.4
Jake Walman,STL,6,3,6,3,0,0,3,0,0,48,6.3
Jake Walman,DET,4,-6,4,0,0,0,3,1,0,39,0
Reilly Walsh,NJD,1,0,0,0,0,0,1,0,0,2,0
Austin Watson,OTT,16,-3,91,9,0,1,6,0,0,88,11.4
Jasper Weatherby,SJS,11,-14,18,4,1,0,5,1,0,45,11.1
MacKenzie Weegar,FLA,44,40,81,6,1,1,33,2,1,203,3.9
Alexander Wennberg,SEA,37,-26,28,9,2,0,21,4,1,95,11.6
Zach Werenski,CBJ,48,-15,22,7,4,0,26,10,1,216,5.1
Blake Wheeler,WPG,60,-15,36,14,3,0,26,17,0,167,10.2
Colin White,OTT,10,-11,4,1,2,0,2,5,0,47,6.4
Colton White,NJD,4,2,8,0,0,0,4,0,0,18,0
Zach Whitecloud,VEG,19,21,20,7,0,1,11,0,0,94,8.5
Chris Wideman,MTL,27,-25,67,4,0,0,11,12,0,76,5.3
Maxwell Willman,PHI,6,-13,16,4,0,0,2,0,0,65,6.2
Tom Wilson,WSH,52,13,98,18,4,2,21,6,1,151,15.9
Luke Witkowski,DET,0,0,0,0,0,0,0,0,0,0,
Christian Wolanin,TOT,2,-1,2,1,0,0,1,0,0,5,20
Christian Wolanin,LAK,2,1,2,1,0,0,1,0,0,5,20
Christian Wolanin,BUF,0,-2,0,0,0,0,0,0,0,0,
Miles Wood,NJD,0,-2,4,0,0,0,0,0,0,2,0
Kailer Yamamoto,EDM,41,-1,40,16,3,1,17,3,1,114,17.5
Keith Yandle,PHI,19,-47,14,0,1,0,8,10,0,105,1
Jesse Yl\'f6nen,MTL,5,2,2,2,0,0,3,0,0,16,12.5
Cameron York,PHI,10,-14,6,2,1,0,4,3,0,33,9.1
Pavel Zacha,NJD,36,-21,22,11,4,0,17,4,0,148,10.1
Filip Zadina,DET,24,-24,10,6,4,0,10,4,0,154,6.5
Nikita Zadorov,CGY,22,11,77,4,0,0,18,0,0,106,3.8
Nikita Zaitsev,OTT,11,-7,28,2,0,0,7,0,2,65,3.1
Yegor Zamula,PHI,0,-6,4,0,0,0,0,0,0,4,0
Jakub Zboril,BOS,3,1,4,0,0,0,3,0,0,13,0
Trevor Zegras,ANA,61,-21,50,14,9,0,30,8,0,181,12.7
Fabian Zetterlund,NJD,8,5,0,3,0,0,5,0,0,36,8.3
Mika Zibanejad,NYR,81,30,12,13,15,1,35,13,4,219,13.2
Radim Zohorna,PIT,6,12,4,2,0,0,4,0,0,9,22.2
Artem Zub,OTT,22,1,60,6,0,0,16,0,0,92,6.5
Mats Zuccarello,MIN,79,21,24,17,7,0,34,21,0,159,15.1
Jason Zucker,PIT,17,-2,15,6,2,0,9,0,0,102,7.8